Month,Labor costs (Private),Labor costs (Govt),Refinery Util (Private),Refinery Util (Govt),HME (Median),HME (25th Percentile),HME (75th percentile),IE (Median),IE (25th Percentile),IE (75th Percentile),Automobile Sales,Employee Earnings,U.S. Demographics (in millions),Personal consumption expenditures,BEV Sales (U.S.),EV Regulations (total),Regular Gasoline Prices (dollars per gallon),Crude oil prices (U.S.) (Dollars per barrel),Consumer loans (Dollars),U.S. Crude Oil and Natural Gas Rotary Rigs in Operation (Count),US Dollar Index,Federal Funds Effective Rate,US GDP (in billions),Consumer Credit Data,US Spot Market,Implied Gasoline Demand
Jan 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3730.7,NaN,NaN,NaN,NaN,NaN,998,NaN,8.242,5872.701,813.793,22.86,NaN
Feb 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3728.2,NaN,NaN,NaN,NaN,NaN,911,NaN,8.2375,,,22.11,NaN
Mar 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3754.9,NaN,NaN,NaN,NaN,NaN,905,NaN,8.27,,,20.39,NaN
Apr 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248.79,3770,NaN,NaN,NaN,NaN,NaN,935,NaN,8.2725,5960.028,818.31,18.43,NaN
May 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249.05,3775.8,NaN,NaN,NaN,NaN,NaN,961,NaN,8.178,,,18.2,NaN
Jun 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249.34,3804.5,NaN,NaN,NaN,NaN,NaN,999,NaN,8.28,,,16.7,NaN
Jul 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249.62,3821.7,NaN,NaN,NaN,NaN,NaN,1010,NaN,8.2,6015.116,826.225,18.45,NaN
Aug 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249.92,3848.3,NaN,NaN,1.191,NaN,NaN,987,NaN,8.122,,,27.31,NaN
Sep 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250.23,3870.1,NaN,NaN,1.191,1.258,NaN,1042,NaN,8.2025,,,33.51,NaN
Oct 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250.53,3870.6,NaN,NaN,1.191,1.335,NaN,1073,NaN,8.11,6004.733,824.391,36.04,NaN
Nov 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250.77,3871.9,NaN,NaN,1.191,1.324,NaN,1137,NaN,7.8175,,,32.33,NaN
Dec 1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251,3861.3,NaN,NaN,1.191,NaN,NaN,1136,NaN,7.325,,,27.28,NaN
Jan 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251.21,3841,NaN,NaN,1.191,NaN,NaN,1068,NaN,6.936,6035.178,824.86,25.23,NaN
Feb 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251.45,3866.7,NaN,NaN,1.191,1.094,NaN,984,NaN,6.295,,,20.48,6545.333333
Mar 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251.68,3913,NaN,NaN,1.191,1.04,NaN,929,NaN,6.21,,,19.9,7030.2
Apr 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,251.96,3907.1,NaN,NaN,1.191,1.076,NaN,865,NaN,5.8775,6126.862,822.851,20.83,7105
May 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252.29,3933.2,NaN,NaN,1.191,1.126,NaN,819,NaN,5.8,,,21.23,7148.6
Jun 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252.68,3940.5,NaN,NaN,1.191,1.128,NaN,867,NaN,5.8075,,,20.19,7533.5
Jul 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252.98,3966,NaN,NaN,1.191,1.096,NaN,844,NaN,5.795,6205.937,818.093,21.4,7542.25
Aug 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253.31,3969.1,NaN,NaN,1.191,1.115,NaN,803,NaN,5.6775,,,21.69,7504.4
Sep 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253.65,3984.7,NaN,NaN,1.191,1.109,NaN,775,NaN,5.4725,,,21.89,7218.5
Oct 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253.97,3976,NaN,NaN,1.191,1.088,NaN,795,NaN,5.228,6264.54,815.581,23.23,7318
Nov 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254.27,4003.6,NaN,NaN,1.191,1.099,NaN,808,NaN,4.84,,,22.46,7065.6
Dec 1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254.53,4020.5,NaN,NaN,1.191,1.076,NaN,796,NaN,4.51,,,19.5,7201.25
